slug	model	in_tokens	out_tokens	est_usd	request_id
rose-topdown	arrow-2	716	3866	0.0802	61081b3e70084dcc89478ab8f5d7b527
rose-one-stroke	arrow-2	716	3404	0.0709	10ffc805ddb8483e93e50eba619a76fd
rose-soundwave	arrow-2	716	3674	0.0763	e0b9f6ee70a74f3d96f1b79f36825b43
rosary-loop	arrow-2	717	3872	0.0803	e8b1b8d66ea142b98eb6354ce9f95396
rosary-r	arrow-2	716	3743	0.0777	3dd5fcf579934a4ba2a7667fb5d79dd8
monogram-r-rose	arrow-2	716	3005	0.0630	61177e02a55a4b4781cbde8fcf39a565
dial-rose	arrow-2	716	3832	0.0795	5176d7af255a4023807267c0bc8d3876
handset-rose	arrow-2	716	3507	0.0730	21f23bcca8c14833bc9ec7f5a431ba67
bubble-rose	arrow-2	715	3402	0.0709	612ff9e8869841c18d60168cb0cbdd48
rose-window	arrow-2	716	4108	0.0850	5cee0ca8b75d44d78907ce0b0f8b0e78
petal-waveform	arrow-2	716	3820	0.0793	9adcc40c43004c1eba8a9f8f84324ecd
wordmark-rosario	arrow-2	717	4041	0.0837	54833f7139ce417d8bf9d92760eb9482
