slug	model	in_tokens	out_tokens	est_usd	request_id
mono-knot-rose	arrow-2-telos	478	3226	0.0996	svg-bab00b379fe942dcaf98a2a693aa940e
mono-cord-rose	arrow-2-telos	477	3556	0.1095	svg-1b302c9a4eca4373af25db045e8121e2
mono-wave-loop	arrow-2-telos	477	3560	0.1097	svg-ea677cc28de248b79c69dc725cf22756
mono-double-ring	arrow-2-telos	478	4052	0.1244	svg-7c580a300395487994ee6db288a73e73
mono-thorn-stem	arrow-2-telos	478	3160	0.0977	svg-b7dfeb4f26a2458f88a48cce0d2dda23
fingerprint-rose	arrow-2-telos	477	7095	0.2157	svg-2ebf80599f7546509f0385771a5793b9
keypad-rose	arrow-2-telos	477	2282	0.0713	svg-f383680a59b74587ab4c96449dd64368
clock-rose	arrow-2-telos	477	4614	0.1413	svg-baf535a7f72b4cf0890a37e046d4bd93
calendar-rose	arrow-2-telos	477	3078	0.0952	svg-a4e7ba9cc34e462785db3dcb6bf7eda3
bell-rose	arrow-2-telos	477	2930	0.0908	svg-42287411457a4cd9bf2446edfe5a4912
ellipsis-rose	arrow-2-telos	477	2903	0.0900	svg-2cc574b5211e460ca1d89d4f9bcb6c71
venn-rose	arrow-2-telos	477	2744	0.0852	svg-d4fdce44d81241e4bc0aae302066c565
slit-disc	arrow-2-telos	477	2202	0.0689	svg-454239e47a6d4394aeabba8a90e8b826
square-rose	arrow-2-telos	477	2673	0.0831	svg-863ed63cb8964061a6451135599bd1ed
isometric-rose	arrow-2-telos	477	2442	0.0761	svg-6c6dc5f09843490b85428ff690a55907
pixel-rose	arrow-2-telos	477	5304	0.1620	svg-eabed34defe54c7a8432377fb2c768d6
moire-rose	arrow-2-telos	478	3303	0.1020	svg-54f1e5a3827d49298d63cf4814638f3c
half-rose-dial	arrow-2-telos	478	3165	0.0978	svg-44bb0333438749698f0bdc42532caf20
petal-handset	arrow-2-telos	477	3285	0.1014	svg-5d6dbc2be6424c8cb7d31c0abba7b25b
rose-r-negative	arrow-2-telos	477	2940	0.0911	svg-e8d2b26436e846c48371971e49957864
orbit-rose	arrow-2-telos	477	2951	0.0914	svg-a01682761a3e4e5d96f42cc79c06ae3c
stamp-rose	arrow-2-telos	477	5827	0.1777	svg-75f95ddbd8794332accd360bc68a7444
wave-petals	arrow-2-telos	477	5042	0.1541	svg-8c6a3836b1644e79ace6a89eb19802a4
knot-r	arrow-2-telos	478	3060	0.0947	svg-803cd473853c4fe2ad41f0c90aaa1518
